fornitore_id,nome,categoria_servizio,zona
1,MuroNuovoGroup,Imbianchino,Napoli
2,CaldaieCasaExpress,Caldaie,Bologna
3,GreenServiceSolutions,Giardinaggio e Irrigazione,Milano
4,IrrigaExpressService,Giardinaggio e Irrigazione,Milano
5,TermoCaldaieExpress,Caldaie,Roma
6,IdroCasaSolutions,Idraulica,Torino
7,VerdeCasaSolutions,Giardinaggio e Irrigazione,Bologna
8,TuboServiceTeam,Idraulica,Milano
9,PitturaProService,Imbianchino,Roma
10,VerdeCasaPro,Giardinaggio e Irrigazione,Torino
11,LegnoServiceCasa,Falegnameria,Milano
12,AcquaProTeam,Idraulica,Milano
13,AmpereTeamSolutions,Elettricista,Napoli
14,IrrigaExpressService,Giardinaggio e Irrigazione,Milano
15,VerdeCasaExpress,Giardinaggio e Irrigazione,Milano
16,CaldaieCasaPro,Caldaie,Torino
17,LegnoServiceGroup,Falegnameria,Roma
18,IdroSolutions,Idraulica,Bologna
19,TintaServiceGroup,Imbianchino,Roma
20,TermoCaldaieGroup,Caldaie,Milano
21,TermoTeamService,Climatizzazione,Napoli
22,GiardinoProTeam,Giardinaggio e Irrigazione,Bologna
23,GiardinoProCasa,Giardinaggio e Irrigazione,Torino
24,ArteLegnoExpress,Falegnameria,Torino
25,IdroGroup,Idraulica,Milano
26,AirExpressGroup,Climatizzazione,Roma
27,PitturaProSolutions,Imbianchino,Bologna
28,GreenServiceGroup,Giardinaggio e Irrigazione,Napoli
29,TermoTeamCasa,Climatizzazione,Napoli
30,ColorCasaExpress,Imbianchino,Bologna
31,AmpereTeamPro,Elettricista,Napoli
32,ElettroCasaGroup,Elettricista,Milano
33,TermoCaldaieExpress,Caldaie,Roma
34,AcquaProTeam,Idraulica,Napoli
35,RubinettoExpressService,Idraulica,Bologna
36,PitturaProTeam,Imbianchino,Napoli
37,WoodCasaPoint,Falegnameria,Torino
38,CaldaieCasaExpress,Caldaie,Milano
39,RubinettoExpressService,Idraulica,Milano
40,PitturaProService,Imbianchino,Milano
41,CaldaieCasaPoint,Caldaie,Bologna
42,PratoTeamExpress,Giardinaggio e Irrigazione,Roma
43,TavolaExpressService,Falegnameria,Napoli
44,TermoTeamSolutions,Climatizzazione,Bologna
45,TuboServiceSolutions,Idraulica,Napoli
46,VoltServicePro,Elettricista,Bologna
47,ArteLegnoSolutions,Falegnameria,Bologna
48,IrrigaExpressPro,Giardinaggio e Irrigazione,Torino
49,AcquaProService,Idraulica,Roma
50,IdroCasaPoint,Idraulica,Napoli
51,TuboServiceCasa,Idraulica,Torino
52,IdroGroup,Idraulica,Milano
53,ElettroCasaGroup,Elettricista,Napoli
54,ClimaCasaSolutions,Climatizzazione,Bologna
55,LuceProCasa,Elettricista,Milano
56,CaldaiaServiceTeam,Caldaie,Roma
57,MuroNuovoSolutions,Imbianchino,Bologna
58,PratoTeamCasa,Giardinaggio e Irrigazione,Milano
59,TavolaExpressPoint,Falegnameria,Bologna
60,IdroCasaExpress,Idraulica,Napoli
61,LuceProSolutions,Elettricista,Bologna
62,CaldaiaServicePro,Caldaie,Milano
63,AmpereTeamService,Elettricista,Milano
64,CaldaiaServiceGroup,Caldaie,Milano
65,WoodCasaTeam,Falegnameria,Torino
66,ElettroCasa,Elettricista,Torino
67,PitturaProTeam,Imbianchino,Bologna
68,ColorCasaPoint,Imbianchino,Bologna
69,RubinettoExpressPro,Idraulica,Milano
70,VoltServiceExpress,Elettricista,Napoli
71,IdroCasaService,Idraulica,Roma
72,CalorProExpress,Caldaie,Bologna
73,ColorCasaPoint,Imbianchino,Roma
74,TuboServiceGroup,Idraulica,Bologna
75,ClimaCasaPro,Climatizzazione,Napoli
76,ElettroCasaGroup,Elettricista,Napoli
77,FalegnamProCasa,Falegnameria,Napoli
78,TermoCaldaieGroup,Caldaie,Milano
79,LegnoServiceGroup,Falegnameria,Napoli
80,ColorCasaGroup,Imbianchino,Milano
81,CaldaieCasaExpress,Caldaie,Bologna
82,AcquaProPoint,Idraulica,Torino
