richiesta_id,cliente_id,fornitore_id,operatore_id,data_ora,categoria_servizio,zona,importo,tempo_erogazione_min,stato
1,441,288,397,2026-05-15 16:34:00,Elettricista,Torino,206.34,76,completata
2,464,357,175,2026-07-18 09:18:00,Climatizzazione,Roma,447.43,30,completata
3,308,438,76,2026-03-24 11:01:00,Giardinaggio e Irrigazione,Napoli,0.0,,annullata
4,570,127,200,2026-02-18 15:22:00,Idraulica,Bologna,226.82,59,completata
5,263,321,460,2026-05-01 10:46:00,Idraulica,Torino,141.33,135,completata
6,591,86,42,2026-01-16 17:51:00,Falegnameria,Milano,372.66,74,completata
7,445,398,456,2026-07-02 09:55:00,Climatizzazione,Bologna,391.3,111,completata
8,392,480,165,2025-12-26 16:36:00,Idraulica,Napoli,72.17,277,in_ritardo
9,403,439,196,2026-07-17 17:32:00,Idraulica,Napoli,205.14,46,completata
10,345,151,29,2026-01-12 17:03:00,Falegnameria,Bologna,189.48,129,completata
11,134,248,145,2026-02-06 15:41:00,Falegnameria,Roma,75.08,,in_corso
12,441,362,319,2026-05-15 16:05:00,Idraulica,Torino,116.71,71,completata
13,353,349,186,2025-12-13 11:39:00,Caldaie,Bologna,309.04,,in_corso
14,240,23,68,2026-03-13 10:48:00,Giardinaggio e Irrigazione,Torino,155.73,109,completata
15,152,256,415,2026-04-27 17:51:00,Idraulica,Bologna,44.78,124,completata
16,551,303,402,2026-03-19 16:48:00,Elettricista,Roma,170.04,118,completata
17,19,71,46,2026-06-11 17:33:00,Idraulica,Roma,99.64,,in_corso
18,278,216,136,2025-12-26 09:24:00,Giardinaggio e Irrigazione,Roma,33.24,,in_corso
19,396,251,464,2026-03-29 17:06:00,Giardinaggio e Irrigazione,Bologna,120.37,55,completata
20,513,265,198,2026-07-23 17:01:00,Idraulica,Bologna,110.05,125,completata
21,161,260,505,2025-12-10 11:22:00,Climatizzazione,Torino,167.59,110,completata
22,264,157,285,2026-06-17 08:35:00,Giardinaggio e Irrigazione,Bologna,88.1,114,completata
23,141,361,423,2026-01-14 16:43:00,Climatizzazione,Milano,148.7,103,completata
24,157,79,184,2026-07-07 17:21:00,Falegnameria,Napoli,0.0,,annullata
25,555,97,341,2026-03-14 17:57:00,Falegnameria,Milano,398.49,,in_corso
26,149,191,86,2026-02-19 16:34:00,Caldaie,Napoli,245.15,123,completata
27,31,457,357,2026-05-13 14:26:00,Elettricista,Bologna,207.65,49,completata
28,193,255,476,2026-01-23 16:39:00,Elettricista,Torino,77.72,59,completata
29,27,375,457,2026-06-02 15:08:00,Falegnameria,Bologna,299.21,53,completata
30,397,9,202,2026-08-07 10:02:00,Imbianchino,Roma,479.08,125,completata
31,208,388,316,2026-03-13 15:55:00,Climatizzazione,Roma,398.04,84,completata
32,415,255,476,2025-12-22 15:46:00,Elettricista,Torino,0.0,,annullata
33,40,153,337,2026-08-24 15:52:00,Giardinaggio e Irrigazione,Napoli,121.44,100,in_ritardo
34,572,199,323,2026-06-17 17:03:00,Elettricista,Torino,198.61,,in_corso
35,293,260,502,2026-07-24 09:44:00,Climatizzazione,Torino,383.66,41,completata
